"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL148976";"";"None";"372.45";"0";"4.27";"2f";"CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)cc3)nc3sccn23)cc1";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"21.09";"0.43";"3.58";"15.27";"0";"CHEMBL665718";"In vitro inhibition of the production of PGE-2 in arachidonic acid stimulated chinese hamster ovary (CHO) cells transfected with human cyclooxygenase-2";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129863";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"CHEMBL3308072";""
"CHEMBL388532";"";"None";"306.31";"0";"2.67";"17";"OC[C@H]1C[C@](O)(c2ccc(F)cc2)[C@@H](c2ccc(F)cc2)O1";"IC50";"'<'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1036637";"Inhibition of COX2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154444";"1";"Scientific Literature";"Eur J Med Chem";"2008";"None";""
"CHEMBL392569";"";"None";"489.91";"0";"4.17";"53";"COc1ccc2c(c1)c(CCOC(=O)NCCCO[N+](=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL901402";"Inhibition of COX2 in human whole blood assessed as effect on LPS-induced thromboxane B2 production";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138326";"1";"Scientific Literature";"J Med Chem";"2007";"None";""
"CHEMBL122";"ROFECOXIB";"4.0";"314.36";"0";"2.56";"ROFECOXIB";"CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1";"IC50";"'='";"679.0";"nM";"6.17";"";"";"UO_0000065";"19.62";"0.38";"3.61";"10.21";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";""
"CHEMBL135";"ESTRADIOL";"4.0";"272.39";"0";"3.61";"BETA-ESTRADIOL";"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";""
"CHEMBL1204023";"";"None";"359.80";"0";"3.09";"25a";"Cl.O=S(=O)(Nc1ccncc1NC1CCCCC1)C(F)(F)F";"IC50";"'='";"330.0";"nM";"6.48";"";"";"UO_0000065";"20.05";"0.42";"3.39";"9.12";"0";"CHEMBL1106771";"Inhibition of COX2 in LPS-stimulated human whole blood assessed as PGE2 production by enzyme immunoassay";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154327";"1";"Scientific Literature";"J Med Chem";"2009";"None";""
"CHEMBL1078373";"";"None";"342.22";"0";"2.96";"16f";"CS(=O)(=O)Nc1ccncc1Nc1ccc(Br)cc1";"IC50";"'='";"21900.0";"nM";"4.66";"";"";"UO_0000065";"13.62";"0.33";"1.70";"6.55";"0";"CHEMBL1106771";"Inhibition of COX2 in LPS-stimulated human whole blood assessed as PGE2 production by enzyme immunoassay";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154327";"1";"Scientific Literature";"J Med Chem";"2009";"None";""
"CHEMBL281379";"";"None";"475.01";"0";"4.07";"15";"COc1ccc2c(c1)c(CC(=O)N[C@H](CO)CCSC)c(C)n2C(=O)c1ccc(Cl)cc1";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"12.63";"0.26";"1.93";"7.45";"1";"CHEMBL769646";"Inhibitory concentration against human prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135305";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";""
"CHEMBL17062";"";"None";"330.43";"0";"3.43";"7b";"Cc1nc(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccccc2)s1";"IC50";"'='";"29.0";"nM";"7.54";"";"";"UO_0000065";"22.81";"0.47";"4.11";"10.32";"0";"CHEMBL760087";"In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131679";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";""
"CHEMBL173186";"";"None";"366.44";"0";"4.21";"4f";"COC(=O)c1ccc(-c2ccccc2)c(-c2ccc(S(C)(=O)=O)cc2)c1";"IC50";"'='";"48000.0";"nM";"4.32";"";"";"UO_0000065";"11.79";"0.23";"0.11";"7.15";"0";"CHEMBL763091";"In vitro inhibitory concentration against recombinant human Prostaglandin G/H synthase 2 obtained from baculovirus";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131663";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";""
"CHEMBL106023";"";"None";"447.24";"0";"3.36";"49";"NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cncc(Br)c2)cc1";"IC50";"'='";"340.0";"nM";"6.47";"";"";"UO_0000065";"14.46";"0.34";"3.11";"7.12";"1";"CHEMBL655565";"Inhibitory activity against human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133620";"1";"Scientific Literature";"J Med Chem";"2000";"None";""
"CHEMBL296266";"";"None";"216.24";"0";"1.89";"3";"Cc1cc(C)n(C(=O)c2ccccc2O)n1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL4030007";"Inhibition of COX2 (unknown origin) using arachidonic acid as substrate pretreated for 10 mins followed by substrate addition measured after 2 mins by enzyme-immunoassay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028830";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";""
"CHEMBL181529";"";"None";"365.39";"0";"4.44";"7";"COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)on2)ccc1O";"IC50";"'='";"10710.0";"nM";"4.97";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL825457";"Anti-oxidant activity in DPPH radicak scavenging assay; n=3-4";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141914";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";""
"CHEMBL54039";"";"None";"373.86";"0";"4.33";"Sl no.38";"COc1ccc(-c2ccccc2-c2ccc(S(N)(=O)=O)cc2)cc1Cl";"IC50";"'='";"19.05";"nM";"7.72";"";"";"UO_0000065";"20.65";"0.42";"3.39";"11.13";"0";"CHEMBL827656";"Binding affinity for Prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138688";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";""
"CHEMBL184436";"";"None";"396.44";"0";"3.36";"23b";"CNC(=O)c1[nH]c2cc(S(C)(=O)=O)ccc2c1Sc1ccc(F)cc1F";"IC50";"";"";"nM";"";"";"Not Determined";"UO_0000065";"";"";"";"";"0";"CHEMBL829936";"Inhibitory concentration against human whole blood Prostaglandin G/H synthase 2; Not determined";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137849";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";""
"CHEMBL415";"CLOMIPRAMINE";"4.0";"314.86";"0";"4.53";"CLOMIPRAMINE";"CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";""
"CHEMBL3402601";"";"None";"429.52";"0";"3.31";"10";"CCCNC(=O)Cc1cc(-c2ccc(S(N)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL3407036";"Inhibition of human recombinant COX2 using PGEH2 as substrate after 10 mins by EIA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3400072";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";""
"CHEMBL3402603";"";"None";"429.52";"0";"3.31";"12";"Cc1c(CC(=O)NC(C)C)cc(-c2ccc(S(N)(=O)=O)cc2)n1-c1ccc(F)cc1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL3407036";"Inhibition of human recombinant COX2 using PGEH2 as substrate after 10 mins by EIA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3400072";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";""
"CHEMBL1451";"TRIAMCINOLONE";"4.0";"394.44";"0";"0.62";"TRIAMCINOLONE";"C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";""
"CHEMBL154907";"";"None";"340.40";"0";"2.52";"3b";"Cn1ncc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccccc2)c1=O";"IC50";"'='";"300.0";"nM";"6.52";"";"";"UO_0000065";"19.16";"0.37";"4.00";"9.45";"0";"CHEMBL763938";"In vitro inhibitory activity against prostaglandin G/H synthase 2 stably transfected in Chinese hamster ovary (CHO) cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136575";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"CHEMBL3308072";""
"CHEMBL364713";"NOSCAPINE";"4.0";"413.43";"0";"2.88";"NOSCAPINE";"COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";""
"CHEMBL1632399";"";"None";"410.42";"0";"3.81";"2e";"CC(=O)N1N=C(c2ccc(S(C)(=O)=O)cc2)CC1c1ccc(C(F)(F)F)cc1";"IC50";"'='";"19830.0";"nM";"4.70";"";"";"UO_0000065";"11.46";"0.23";"0.89";"7.04";"0";"CHEMBL1639617";"Inhibition of human recombinant COX2 expressed in baculovirus infected SF21 cell";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1629710";"1";"Scientific Literature";"Eur J Med Chem";"2010";"CHEMBL4106362";""
"CHEMBL184613";"";"None";"363.44";"0";"3.78";"25";"Cc1ccc2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)nn2n1";"IC50";"'<'";"31.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL833052";"Inhibition of human cyclooxygenase-2 expressed in COS cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"COS";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138006";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";""
"CHEMBL363180";"";"None";"332.36";"0";"3.10";"4";"Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)c(F)c1";"IC50";"";"";"nM";"";"";"Not Determined";"UO_0000065";"";"";"";"";"0";"CHEMBL880608";"Inhibitory activity against human recombinant cyclooxygenase 2; not determined";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143455";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";""
"CHEMBL43737";"";"None";"325.43";"0";"4.16";"7";"Cc1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1";"IC50";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"22.73";"0.44";"3.24";"18.94";"1";"CHEMBL762912";"In vitro inhibitory activity against human prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130038";"1";"Scientific Literature";"J Med Chem";"1997";"None";""
"CHEMBL1630244";"";"None";"363.76";"0";"3.97";"26b";"CC(C)N(C)Cc1cc2c(cc1Cl)C=C(C(=O)O)C(C(F)(F)F)O2";"IC50";"'='";"100000.0";"nM";"4.00";"";"";"UO_0000065";"11.00";"0.23";"0.03";"8.04";"0";"CHEMBL1639903";"Inhibition of human COX2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1629461";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";""
"CHEMBL44367";"";"None";"349.81";"0";"4.34";"19";"CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1Cl";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL762912";"In vitro inhibitory activity against human prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130038";"1";"Scientific Literature";"J Med Chem";"1997";"None";""
"CHEMBL105350";"BISDEMETHOXYCURCUMIN";"None";"308.33";"0";"3.35";"3";"O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)cc1";"IC50";"'='";"36370.0";"nM";"4.44";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL825457";"Anti-oxidant activity in DPPH radicak scavenging assay; n=3-4";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141914";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";""
"CHEMBL225463";"";"None";"448.50";"0";"4.25";"10q";"CS(=O)(=O)c1ccc(-n2nc(COc3ccc4c(c3)OCO4)cc2-c2ccccc2)cc1";"IC50";"'='";"450.0";"nM";"6.35";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL919560";"Inhibition of COX2 expressed in CHO cells assessed as inhibition of arachidonic acid-stimulated PGE2 production by enzyme immunoassay";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149247";"1";"Scientific Literature";"J Med Chem";"2004";"CHEMBL3308072";""
"CHEMBL373514";"";"None";"489.60";"0";"4.36";"10n";"CS(=O)(=O)c1ccc(-n2nc(COc3cccc(N4CCOCC4)c3)cc2-c2ccccc2)cc1";"IC50";"'='";"920.0";"nM";"6.04";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL919560";"Inhibition of COX2 expressed in CHO cells assessed as inhibition of arachidonic acid-stimulated PGE2 production by enzyme immunoassay";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149247";"1";"Scientific Literature";"J Med Chem";"2004";"CHEMBL3308072";""
"CHEMBL1630238";"";"None";"368.74";"1";"5.11";"20";"Cc1ccccc1-c1c(Cl)ccc2c1C=C(C(=O)O)C(C(F)(F)F)O2";"IC50";"'='";"1980.0";"nM";"5.70";"";"";"UO_0000065";"15.47";"0.31";"0.59";"12.26";"0";"CHEMBL1639903";"Inhibition of human COX2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1629461";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";""
"CHEMBL179204";"";"None";"362.49";"1";"5.30";"M41";"Cc1ccc(C(=Cc2ccc(S(C)(=O)=O)cc2)c2ccc(C)cc2)cc1";"IC50";"'='";"31600.0";"nM";"4.50";"";"";"UO_0000065";"12.41";"0.24";"-0.80";"13.18";"0";"CHEMBL3076632";"Inhibition of COX2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045408";"1";"Scientific Literature";"Med Chem Res";"2013";"None";""
"CHEMBL2283162";"";"None";"414.43";"0";"4.66";"M27";"CS(=O)(=O)c1ccc(/C=C(/C(=O)O)c2cccc(-c3ccc(F)cc3F)c2)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3076632";"Inhibition of COX2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045408";"1";"Scientific Literature";"Med Chem Res";"2013";"None";""
"CHEMBL3289102";"";"None";"442.73";"1";"8.36";"12";"CC(C)[C@@H]1CC[C@]2(C)[C@H](CC=C3[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]32C)[C@@]1(C)CCC(=O)O";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3295182";"Inhibition of human recombinant COX-2 using arachidonic acid as substrate preincubated for 5 mins followed by substrate addition measured after 5 mins by HPLC analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286230";"1";"Scientific Literature";"J Nat Prod";"2014";"None";""
"CHEMBL436494";"";"None";"448.54";"0";"4.92";"10p";"CCOc1cccc(OCc2cc(-c3ccccc3)n(-c3ccc(S(C)(=O)=O)cc3)n2)c1";"IC50";"'='";"900.0";"nM";"6.05";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL919560";"Inhibition of COX2 expressed in CHO cells assessed as inhibition of arachidonic acid-stimulated PGE2 production by enzyme immunoassay";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149247";"1";"Scientific Literature";"J Med Chem";"2004";"CHEMBL3308072";""
"CHEMBL258738";"";"None";"329.71";"0";"4.73";"19";"O=C(O)Cc1ccccc1Nc1c(Cl)cccc1C(F)(F)F";"IC50";"'='";"166.0";"nM";"6.78";"";"";"UO_0000065";"20.56";"0.42";"2.05";"13.74";"0";"CHEMBL921788";"Inhibition of human COX2 for 17 mins pre-incubated before addition of [1-14C]arachidonic acid";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145486";"1";"Scientific Literature";"J Biol Chem";"2007";"None";""
"CHEMBL29472";"";"None";"452.28";"0";"4.03";"1al";"NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)s2)cc1";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"17.51";"0.43";"3.89";"10.16";"1";"CHEMBL763093";"In vitro inhibitory concentration required to block human recombinant prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130002";"1";"Scientific Literature";"J Med Chem";"1997";"None";""
"CHEMBL2283170";"";"None";"544.80";"2";"9.04";"M35(T)";"CCCC/C(=C(\c1ccccc1)c1cc(C(C)(C)C)c(C(C)=O)c(C(C)(C)C)c1)c1ccc(S(C)(=O)=O)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3076632";"Inhibition of COX2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045408";"1";"Scientific Literature";"Med Chem Res";"2013";"None";""
"CHEMBL151";"LUTEOLIN";"2.0";"286.24";"0";"2.28";"luteolin";"O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12";"IC50";"'='";"2.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1014038";"Inhibition of COX2 in LPS-stimulated bone marrow derived mast cells";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150665";"1";"Scientific Literature";"J Nat Prod";"2002";"None";""
"CHEMBL491088";"";"None";"306.22";"1";"5.78";"2e";"Clc1ccc(-c2cnsc2-c2ccc(Cl)cc2)cc1";"IC50";"'='";"4000.0";"nM";"5.40";"";"";"UO_0000065";"17.63";"0.39";"-0.38";"41.88";"0";"CHEMBL1003657";"Inhibition of COX2 in LPS-stimulated human blood";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140871";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL475545";"";"None";"318.85";"1";"5.47";"12d";"Cc1ccc(-c2c(-c3ccc(Cl)cc3)ssc2=O)cc1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1003657";"Inhibition of COX2 in LPS-stimulated human blood";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140871";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL43863";"";"None";"277.39";"0";"3.45";"13";"Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C(C)C";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL762912";"In vitro inhibitory activity against human prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130038";"1";"Scientific Literature";"J Med Chem";"1997";"None";""
